 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.45,1.5,2.64,1.29,0.32,0,0,1.32,0.8,1.2,0.53,1.17,0.26,0,1.07,0.32,0,4
2.39,1.72,0,1.62,0,1.65,0.05,0,0,0.23,0.6,0,0.85,0,0.69,0,0,4
1.71,1.8,1,0.12,0,0.31,0.14,0,0.07,0,0.94,0,1.75,0,0.32,0,0.29,4
0.33,0.38,0,0.34,0,0,0,0,0,0,0,0,0.78,0,0,0.21,0,4
3.14,2.77,0,0.19,0,0,0,0,0.31,0.95,1.08,0.81,0.4,0,0.29,0.16,0.2,4
1.75,1.73,0,0.63,0,0,0.44,0,0,0.74,0.76,0.43,0.27,0.07,0,0.34,0,4
1.26,1.45,1.17,0,0,0.02,0,0,0.23,0,0.03,0.42,1.19,0.31,0.1,1.48,0.71,4
1.31,0.45,0.42,0,0,0.2,0,0,0.26,0,1.6,0.51,1.37,0,0.79,0,0,4
0.33,0.35,0,0,0,0,0,0,0.64,0.25,0.55,0.28,0,0,0.34,0,0,4
1.73,1.29,0.03,0,0,0,0,0,0.42,0.17,0.82,0.92,0,0,0.86,0.26,0,4
0,0.87,0,0.77,0,0,0,0,0,0.56,0.23,0.79,0,0,0.22,0.06,0,4
1.22,1.65,0,1.2,0,0,0.84,0.11,0.54,0.32,1.19,0,0.05,0,0.91,0,0,4
0.82,0,1.53,0.63,0,0,0,0,0,0.93,0.66,0.37,0,0,0,0,0.33,4
0,0.07,0.48,0,0,0,0,0,0.44,0,0.25,0.51,0,0,0.09,0,0,4
2.28,1.03,0.71,1.08,0,0,0,0,0,0,0.57,0,0.01,0,0.17,0,0,4
2.14,1.57,0.78,1.07,0,0,0,0,0,0.2,0.43,0.33,0.7,0,0.33,0.02,0,4
1.04,0.96,0.42,0.71,0.37,1.78,0,1.11,0,0.04,0.97,0.08,1.46,0,0.09,0,0.5,4
3.59,2.87,2.1,2,0,1.2,0.04,0,0.34,0.45,0,0,0,0,1.29,0.49,0,4
2.59,2.15,0.97,1.38,0,0.15,0,0.01,0.14,0,1.31,0.89,0,0,0,0,0,4
3.45,1.83,1.48,1.87,0,0,0,0.44,0.82,0.18,0.37,0,0.75,0,2.01,0,0,4
2.07,1,2.21,1.17,0,0.06,0.51,0.66,0,0,0.33,1.17,0.9,0,1.52,1.02,0,4
2.16,0.32,1.34,0,1.2,2.32,0.04,0.1,0.4,0,0.94,0,2.34,0,1.48,0,0,4
2.7,2.81,0,1.27,0.24,0,0,1,0.97,1.55,0.57,1.81,1.41,0.57,0,0.01,0,4
1.93,0.63,2.07,0.33,0,0.19,0.49,0.3,0,0.21,0,0.03,0,0,0.83,0.03,0,4
1.54,1,0.18,0,0.67,1.7,1.03,0.53,0.41,0,1.81,1.83,0.95,0.35,0.52,0,0,4
1.85,0.69,1.51,1.05,0,0.27,0.09,0.18,0,0,0.36,0.96,0.56,0.11,0.81,0.79,0,4
1.29,0.57,0.37,0.46,0,0.68,0,0.03,0.12,0,0,0.15,1.24,0.48,1.16,1.48,0,4
2.32,0.84,1.49,0.09,0.9,1.72,0.18,0,0.41,0,1.08,0,1.69,0,1.82,0.37,0,4
2.76,1.96,0.29,1.46,0.28,0,0.14,0,0.09,0,0.6,0,0.28,0,1.83,0,0,4
1.76,0.7,0.07,1.1,0.13,0.48,0,0,0,0.08,0.62,0,0.93,0,0,0,0,4
1.36,1.47,0,0.35,0.32,0,0.05,0,0,0.92,0.1,0.03,0,0,0,0,0,4
3.03,2.63,1.76,1.48,0,0,0,0,0.33,0.17,0.39,0.02,0.17,0,1.2,0.75,0,4
2.62,2.01,0.67,0.55,0,0,0,0,0,0.4,0.48,0.33,0.06,0,0,0,0,4
0.72,0.98,0.07,1.26,0,0.21,0,0,0,0,0.82,0,0.52,0,0.36,0,0,4
2.15,0.39,0,0,0,0,0,0,0.27,0.5,0.65,0,1.71,0.09,0,0,0,4
0.65,0,0.25,0.49,0,0,0,0,0,0,0.96,0,0.81,0,0.3,0.16,0,4
0,0.12,0.23,1.35,0.05,1.43,0.01,0,0,0,0.51,0.93,0,0.1,0.6,0.79,0,4
1.08,1.22,0,1.21,0,0.34,1.11,0.49,0,0.37,0.84,0,0,0,0.81,0,0,4
1.56,0.24,0.04,0.52,0,0,0,0,0.29,0,1.09,0,0.06,0,0,0,0,4
0,0.58,0,1.03,0,0,0,0.01,0.09,0.37,0.51,0.15,0,0,0.15,0.11,0,4
0.44,0.09,0.02,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,4
1.19,2.07,0,0.11,0,0,0.18,0,0,0,0.28,0.43,0,0.19,0,0,0,4
0.85,0,0,0,0,0,0,0.23,0,0,0.25,0,0,0,0,0.91,0,4
0.67,0.01,0,0,0,0,0,0,0,0,0.52,0,1.25,0,0,0.21,0.4,4
2.54,2.44,0.19,0.67,0,0,0,0,0,0,0.83,0.52,0,0.15,0,0,0.29,4
2.28,1.87,0.74,1.05,0,0,0,0.11,0,0.21,0.24,0,0,0,0,0,0,4
1.9,2.33,0,0,0.44,0.46,0,0,1.27,0.4,0.92,0.45,0,0.16,0.59,0,0.28,4
0.62,0.51,0.93,0.47,0,0,0.16,0,0,0,0.37,0.1,0,0,0.43,0,0,4
1.45,0.21,1.65,1.37,0,0,0.36,0,0,0,0.56,0.59,0.22,0,0.53,0.69,0,4
1.72,1.09,0.56,0.96,0,0,0,1.21,0.65,1.29,0.63,1.61,1.33,0,0.64,0.99,0,4
0.91,0.47,1.58,0,0,1.59,0,0,0,0.5,0,0.02,0,0.13,0,0.81,0,4
0.21,0,0,0.27,0,0.19,0.96,0,0,0,1,0.52,0,0,0,0,0,4
2.57,2.41,0,1.21,0,0.07,0,0,0,0,0.16,0.17,0,0.39,0,0,0.36,4
0,0,0.39,0,0.18,0,0.42,0,0.19,0.09,0,0.14,1.21,0,0,0,0,4
2.39,1.46,0.72,0,0,0,0,0.81,1.2,1.91,0.77,0.91,0,0.25,0.53,0,0,4
0.07,0.26,0,0.64,0,0.24,0,0,0,0,0.4,0.58,0,0,0,0,0,4
