 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.85,3.26,1.01,4.32,0.11,0,0,0,0.5,0,0.73,0.13,0,0,3.71,2.09,0,6
3.53,4.23,0.75,4.72,0,0.61,0,0,0.06,0,0.26,0,0,0,2.06,1.59,0,6
2.45,1.83,0,3.73,0,0,0,0,0,0,0.33,0.5,0.34,0,0.41,0,0,6
2.52,2.55,1.16,2.26,0,0,0.24,0.5,0,0.2,0.71,0,0,0,0.99,0.49,0,6
1.05,2.42,0.2,3.43,0,0.59,0,0.86,0,0,0.42,0.28,0,0,2.14,2.01,0,6
2.97,3.52,0,3.52,0,0,0,0,0,0,1.39,0.22,0.23,0.08,1.88,3.14,0,6
4.43,4.66,0,4.41,0,0,0,0,0.17,0,0,0.77,0,0,0.69,0,0,6
4.5,4.3,0,3.88,0,0,0,0,0.04,0,1.35,0,0.47,0,1.67,2,0,6
1.54,3.18,0,4.85,0,0,0,0,0,0,0.04,0,0,0,0.15,0.62,0,6
2.84,3.58,0,3.5,0,0,0,0,0,0,0.24,0.09,0,0,0.11,1.57,0,6
3.39,3.45,0.15,2.62,0,0,0,0,0,0,1.83,0,0,0,1.19,1.9,0.16,6
2.88,3.48,0.13,3.06,0,0.46,0,0,0,0,1.33,0,0.72,0,1.92,1.88,0,6
2.85,3.06,0.2,3.03,0,0,0,0,0,0,1.4,0,0,0,1.61,1.99,0,6
2.49,1.65,0.67,3.94,0.34,0.6,0,0,0.73,0,1.48,0,0.59,0,4.48,1.11,0,6
1.55,2.51,0,4.25,0,0,0,0,0,0,0.69,0.28,0.4,0,1.22,2.85,0,6
3.68,3.94,0,4.27,0,0,0,0,0.1,0,0.68,0,0.62,0,1.95,0.59,0,6
0.73,1.66,0.27,2.76,0,0,1.19,0.36,0,0,0.79,0,0,0,2.14,1.72,0,6
1.39,0.72,0,4.63,0,0,0.7,0,0,0,0,0.02,0.03,0.14,1.16,0.04,0,6
0.71,0.11,0.56,1.14,0,0.87,0.75,0,0,0,1.45,0,0,0.03,1.04,1.98,0,6
0.8,2.06,0,2.13,0,0,0,0,0,0,0.98,0,0,0,0.21,1.17,0,6
2.1,2.6,0,2.34,0,0,0,0,0,0,1.43,0,0.08,0,0.89,1.4,0,6
2.78,3.15,0.31,3.54,0,0,0,0,0,0,1.33,0.18,0.33,0,1.71,2.08,0,6
1.43,1.63,0,2.99,0,0.01,0,0,0,0,1.02,0.52,0.49,0,0.63,0.8,0,6
0.72,1.75,0,3.87,0,0,0,0,0,0,0.38,0.13,0.24,0,0.07,1.06,0,6
1.8,1.49,0.79,3.02,0.23,0.82,0,0,0.11,0,0.44,0,0,0,3.28,1.64,0,6
0.75,1.98,0,3.02,0,0,0.19,0,0,0,0.32,0,0,0,0,0,0,6
2.05,3.48,0,3.54,0,0,0.26,0,0,0.49,0.59,0.32,0.48,0,0.51,0.88,0,6
1.22,1.17,0,3.48,0,0,0,0,0,0,0.75,0.97,0,0,0,0.45,0,6
0.87,2.24,0.52,4.56,0,0,0.23,0,0,0,0,0.39,0,0,1.13,2.12,0,6
1.85,2.91,0,2.65,0,0,0,0,0,0,0.34,0.31,0,0.07,0.01,0.09,0,6
2.73,4.27,0,3.55,0,0,0,0,0,0,0.37,0,0.47,0,0.49,1.53,0,6
3.82,4.75,0.01,3.3,0,0,0,0,0,0,0.54,0.15,0,0,1.28,1.26,0,6
