 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
3.09,2.81,3.13,4.15,0.61,1.48,1.54,1.1,0.57,0.84,1.44,0,0,0,3.55,1.55,0,0
1.11,0.73,0.4,3.68,0.92,2.03,1.03,0.82,0,0,1.53,0,0,0,3.23,1.48,0,0
2.39,2.44,3.27,4.01,0.44,0.73,1.05,1.32,0.17,0,1.14,0,0,0,2.46,1.65,0,0
2.6,2.18,2.81,3.78,0.89,1.83,1,1.56,0.56,0.12,1.24,0,0,0,3.87,1.52,0,0
1.43,1.12,1.3,2.92,0.04,1.46,0.24,0.68,0,0,1.82,0.36,0.34,0,2.55,0.79,0,0
2.25,1.59,0.82,3.83,0.68,0.58,0.88,1.68,0.57,0.38,1.64,0,0,0,3.82,0.32,0,0
2.94,3.05,2.27,3.67,0.8,0.98,1.45,0.72,0.17,0.4,1.24,0,0,0,3.59,1.6,0,0
2.16,2.11,0.38,3.63,0,0.02,0.69,1.14,0.46,0,1.6,0,0,0,3.52,1.38,0,0
2.26,2.23,0.32,3.83,0,0,0,1.5,0,0.14,1.92,0,0.16,0,3.34,1.47,0,0
0,0,0.17,0,1.5,2.32,1.92,1.12,0.99,1.19,1.22,0.09,2.2,0,0.49,0.67,0.24,0
0.76,0.7,0.94,3.82,0.84,1.77,0,0.81,0.17,0,1.3,0,0,0,2.55,1.02,0,0
1.89,0,3.18,0,2.23,3.4,2.53,2.26,0,0.39,0.87,0,0.57,0,5,0.57,0.25,0
0.27,0,3.31,0.71,2.69,5,2.9,2.15,0.51,0,0.18,0,1.16,0,5,3.06,0.46,0
0.16,0,2.56,0,2.39,5,3.16,2.41,0,0.1,0.83,0,0.33,0.65,2.36,1.93,0.48,0
1.02,0,3.24,0.3,2.51,5,2.39,2.51,0.19,0.06,0.53,0,1.77,0,5,1.38,0.08,0
0.97,0.03,3.11,0.44,2.81,5,2.43,2.62,0.81,0,0.61,0,1.12,0,5,1.46,0.06,0
1.71,0,2.98,0.73,2.6,5,1.99,2.43,0.45,0,0.1,0,0.58,0,5,1,0,0
2.14,0,3.01,0.16,2.8,5,2.42,2.48,0.59,0,0,0,0.3,0,5,1.49,0,0
0.6,0,3.59,0,2.78,5,2.58,2.46,0.26,0,0.14,0,0.38,0,5,1.25,0.05,0
0.42,0.36,2.12,0,2.36,4.56,2.77,1.94,0.37,0.29,1.04,0.32,0.44,0.71,2.23,2.98,0.72,0
2.13,1.04,3.1,0.74,1.97,4.28,2.36,1.67,0.01,0,0.15,0,0,0,3.36,1.89,0,0
0.95,0,1.91,0,2.48,4.82,1.95,2.21,0.62,0.45,0.49,0,1.19,0,5,2.21,0.21,0
0.36,0,4.1,1.78,2.38,5,2.84,2.48,0.76,1.26,0.9,0,0,0,3.75,0.49,0,0
1.85,0,3.36,0.77,2.17,4.29,1.53,2.19,0.84,0,2.34,0,1.48,0,4.35,0,0,0
0.28,0.57,3.59,1.74,2.57,2.83,2.51,2.07,1.04,0.48,1.28,0,0.05,0,3.61,0,0,0
1.42,1.29,2.22,3.05,1.76,2.69,1.23,2,1.19,0.43,1.63,0,0.73,0,5,0,0,0
2.01,2.16,2.4,3.7,1.79,2.93,0.95,2.3,1.46,0.73,1.59,0.26,0.59,0,4.27,0,0,0
0,0,2.43,1.49,3.39,4.09,3.5,2.35,1.57,1.92,1.49,0,1.39,0,4.75,0,0,0
1.88,0.82,1.39,2.72,0.15,2.3,0,0,0,0,0.63,0,0.06,0,1.06,0.53,0,0
1.45,0.44,3.06,1.96,1.04,1.91,0.51,1.15,1.27,1.67,0.81,2.59,0.57,0.43,0.24,0.35,0,0
1.82,1.6,3.36,1.82,1.09,1.52,1.7,1.78,0.12,1.07,1.24,0,1.49,0,2.66,0,0,0
1.7,0.89,2.97,1.53,0.87,0.67,0.3,2.29,1.35,0.38,2.22,1.15,0,0,2.1,0,0,0
1.02,0.68,4.19,1.14,0.99,2.91,0.59,2.03,0.81,0.12,2.53,2.44,0.98,0.28,1.05,0,0,0
1.83,0.7,3.67,1.39,1.98,3.54,2.57,1.95,0.56,0.87,1.7,0.15,1.66,0,3.31,0,0,0
2.38,0.57,4.34,1.64,1.74,3.74,1.7,2.35,0.74,0.87,1.76,0.06,1.94,0,3.34,0,0,0
2.53,0.43,4.49,1.27,2.59,3.33,2.75,2.45,1,1.02,1.09,0,1.74,0,5,0,0,0
1.46,0.9,3.72,1.59,1.86,2.37,1.4,2.2,1.17,1.25,1.27,0,1.06,0,3.67,0.64,0,0
