 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
1.06,0.34,2.62,0.41,0.33,1.58,1.42,0.25,0.18,0.14,0,0,0,0,0.23,0.13,0.38,2
0.8,0.02,0.39,0.1,0.73,1.56,0.29,0.81,0,0.84,0.85,0,1.2,0,0.59,0,0,2
0.5,0,3.7,0,2.08,1.82,1.07,1.24,1.45,0.99,0,0.73,0.03,0.22,0,0,2.28,2
0,0,1.69,0,2.4,2.83,3.51,1.38,1.4,1.59,0,1.72,0.02,0,0.45,0,0,2
0,0,0.75,0,0,0.91,0.2,0,0,0.6,0.39,0,1.76,0,0.34,2.02,0,2
0,0,1.02,0.85,1.03,2.03,2.45,0.63,0,0,0.45,1.51,0,0.18,0,0,0,2
0.13,0.61,0,0.94,0,0.58,0.23,0.6,0,0,0.11,0.96,0.25,0,1.2,0.62,0,2
0,0,1.96,0.31,0.96,1.17,0.51,2.52,1.42,2.19,0.4,0,0.26,0,0.38,0,0.38,2
0,0,0,0,1,0.34,1.73,1.09,0.64,1.5,0,0.36,0,0,0,0,0,2
0.86,0,1.78,0,0.56,2.14,0.2,1.66,0.75,0,0.37,0.34,0.67,0,0.68,0,0,2
0,0,0.78,0.55,2.44,3.19,4.09,1.74,0,1.02,0.72,0,1.17,0,3.15,0,0.45,2
0.4,1.09,1.22,0.51,0,1.35,0.37,0,0,0,0,0,0,0,0.26,0,1.52,2
0,0,2.16,0,2.26,1.88,2.35,1.82,0.2,0.86,0.12,0.5,0,0.22,0.43,0,0,2
1.39,0.81,2.01,0,0,1.49,0.97,0,0.15,1.69,0.98,0.74,0,0.61,0,0,0,2
0,0.1,0.73,0.53,1.59,1.88,0.89,1.64,0.92,0.95,0,0,0.94,0,2.59,0.6,0,2
0.37,0.08,2.57,0,1.38,1.07,2.21,0.56,0.71,1.92,0,0,0.48,0,1.23,0.37,0,2
0.09,0.2,0.13,0.68,0.21,0,1.41,2.02,0.27,2,0.38,1.17,0,0,0.21,1.06,0,2
0,0,0.16,0,0,2.77,1.83,0,0,0,0.19,0.25,0,0,0,0.11,0,2
0,0.1,3.8,0,2.47,2.3,2.31,2.56,1.27,0.79,0,0,0,0,1.11,0.5,1.2,2
0,0,1.76,1.57,1.98,2.17,2.1,2.18,0.65,0.46,0,0,1.25,0,1.81,0,0,2
2.62,1.38,1.26,1.56,0.84,2.22,1.77,1.75,1.03,0.44,0,0,0,0,1.64,0.42,0,2
