 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.42,0.38,2.85,0.17,1.34,1.74,0.85,1.43,1.15,1.57,0.31,0.3,0.28,0,1.11,0,0.35,3
0.86,0,0.52,0.31,0.3,0,0,0.2,0.97,2,0.68,0,1.95,0.4,0.13,0.36,0.17,3
2.12,0.39,1.08,1.33,0,0,0,0,0,1.13,0.63,0.29,1.6,0,0.17,0,0,3
1.36,0,2.02,0,2.79,2.19,1.74,1.41,2.31,0.95,0,0,1.07,0,3.1,0,0.43,3
1.08,0,0.55,0,1.09,1.06,1.13,1.47,0.12,0.79,0.69,0,0,0.22,0.58,0.4,0.09,3
0,0,0.08,0,2.87,3.78,1.33,3.15,3.04,1.4,0,0,0.91,0,3.33,0,0.08,3
1.41,0,0.91,0,1.49,2.78,0,0.28,0.92,0,0.15,0,0.27,0,1.25,0.46,0.41,3
1.97,0,0.2,0,3.04,4.02,1.64,1.31,2.32,2.19,0,0,0,0,2.07,0.11,0.61,3
2.52,1.8,0,0,1.89,0.65,0.51,1.65,1.26,1.86,0,1.18,0,0,0,0,1.83,3
0.98,0.22,0,0,1.88,1.08,1.35,1.14,1.92,1.25,0.92,0.48,2.18,0,1.64,1.05,0.8,3
1,0.29,0,0,1.33,1.04,0,0.46,1.17,0.4,0.24,0,0.25,0,0,0,0,3
0,0,0,0,3.15,0.73,0,1.55,3.73,2.41,0,0,0,0.36,1.98,0.02,0,3
0.06,0,0,0.49,2.77,1.48,0,1.41,4.39,1.53,0,0,0,0.51,2.86,0.39,0,3
2.96,1.17,0.45,0.91,2.61,0,0.59,3.23,4.05,2.6,0,0.47,0,0,2.84,0.91,0,3
2.09,0,0,0.88,1.16,2.16,0,0.67,0.9,0.07,1.59,0.4,1.84,0,0,0,0,3
1.87,0,0.86,0.02,0.83,0.09,0.28,2.01,0.53,1.5,1.97,0.97,1.8,0.28,0,0,0.14,3
0,0,1.37,0,1.11,0,0.86,1.25,1.76,2.06,0,0,1.74,0,1.18,1.06,0.13,3
0,0,1.59,0,0.79,0.14,0.72,1.32,1.87,2.05,0,0,1.93,0.08,1.33,0.55,0,3
2.01,0,0,0.43,1.2,1.56,0.81,0.85,0.65,0.59,0.59,0.61,3.17,0.43,0,0,0,3
1.77,0.39,0,0.15,1.63,2.2,0,0.87,1.62,0,0.67,0,1.7,0.63,1.17,0.18,0,3
2.15,1.47,0.06,0.68,1.91,1,0,2.21,3.9,0.6,0,0.63,0.66,0.29,2.46,0,0.52,3
1.7,0.42,0,0,2.23,0.55,0.55,2.81,4.51,0.55,0,0,0,0,3.15,0.28,0,3
0.44,0,0,0,2.46,2.13,0,1.54,2.9,1.35,0,0,0.47,0.62,3.11,1.51,0.5,3
1.63,0,0,0,1.37,4.19,0,0.73,1,0,0,0,0.16,0,0.28,0.36,0,3
1.86,0.42,0.95,0,1.93,2.39,0,1.6,2.45,0.36,0,0,0,0.57,1.69,1.46,0,3
0.32,0,0.04,0,2.94,2.27,0,0.53,3.01,0.23,0,0,0,0.13,2.69,0,0,3
0.46,0.37,0,0,2.5,1.8,1.79,2.31,0.71,2.02,1.05,2.89,0.01,0.32,0,0,1.8,3
0.92,0.14,0,0,1.17,0.57,0,0.41,1.14,0.49,0.26,0,0.45,0,0,0,0.11,3
0.36,0,0.64,0,1.55,3.76,1.52,2.54,1.71,0.76,1,0,0.13,0,2.62,0,0.81,3
0.98,0,0.09,0.57,0.85,1.17,0,2.17,1.66,1.12,0,0,0.52,0,2.03,0.4,0.38,3
1.95,0.98,0,0.03,2.07,0.33,0,1.96,2.95,2.43,0.26,0.67,0.95,0.66,2.29,0,0.61,3
0.04,0,0,0,0.89,1.81,0,0.4,2.89,1.73,0,0,0.59,0,2.05,1.01,0,3
0.46,0,0,0.24,0,1.8,0,0,1.44,0.51,0,0,0.48,0,0.9,0.31,0,3
2.06,0,1.24,0.2,1.07,1.16,0.26,0.86,0.06,0,1.73,0,2.07,0.32,1.22,0,0.19,3
2.16,0.56,0,0.81,0.34,0,0,0.26,1.14,1.93,0.24,0.4,1.87,0.55,0,0,0,3
1.36,0,2.21,0.54,2.02,2.1,0.84,1.67,2.24,1.02,0.04,0,1.1,0.09,3.61,0.42,0.06,3
1.39,0,1.46,0.94,1.13,1.85,0.72,0.12,0.24,0.83,0.41,0,1.07,0.13,1.28,0,0,3
0.61,0,0.42,0.78,0.55,0.06,0,0,0.98,1.58,0.35,0,2.62,0.42,0.12,0.59,0.16,3
2.13,0.87,1.74,0.42,1.32,0.65,0.44,0.46,1.34,0.17,0.71,0,1.06,0.27,2.01,0,0,3
1.69,0,0,0.31,0,0,0,0.22,0.27,2.55,0.94,0.44,2.04,0.28,0,0.12,0,3
1.42,0,0,0.74,0.29,0,0,0,0.8,1.74,1.14,1.77,2.33,0.62,0,2.78,0,3
0.72,0,1.54,0,1.25,2.57,1.21,0.98,0,0.53,1.02,0.21,0.94,0.2,0.86,0.01,0.38,3
0.36,0,0,1.03,2.12,3.31,0.14,1.3,2.59,2.03,0,0,0.46,0.13,3.03,2.21,0.13,3
1.18,0,2.6,0,1.81,2.15,1.37,1.76,0.69,1.33,0.52,0.89,0.75,0,0.82,1.17,0.67,3
0,0,0,0,2.02,3.05,1.04,1.69,1.95,0.68,1.24,0,0.38,0,3.16,0.92,1.19,3
0,0,1.08,0,3.16,4.01,1.8,1.99,2.16,1.03,0.78,0,0,0,1.85,0.47,0.07,3
1.17,0.11,0.44,0,1.9,0.04,0.15,2.79,2.9,2.8,0.01,0,1.58,0,3.65,0,0,3
1.09,0.45,0,0,0.65,0.37,0,0.58,0.71,0.14,0,0,0.05,0,0.16,0.21,0,3
1.25,0.42,0.77,0,1.96,2.45,0.78,1.96,1.61,0.85,0,0,0.29,0,2.02,0.38,0,3
0,0,0,0,1.21,0.88,0.96,1.24,2.05,0.94,0,0,0.03,0.36,1.77,0.71,0,3
0,0,1.79,0,1.51,1.67,0,0.46,2.01,0,0.21,0,0,0,1.38,0,0.61,3
0.9,0,0,0,1.14,3.12,0,0.45,1.04,0.11,0,0,0.38,0.18,0,0.88,0,3
0,0,0,0,3.12,1.12,0,2.04,4.13,2.21,0,0,0,0.23,2.73,0.52,0,3
0.19,0,0.01,0,3.22,2.55,0,0.97,3.15,1.46,0,0,0,0.08,2.24,0.87,0.5,3
0,0.07,0,0,0,0.71,1.69,0.54,0,0,0.54,0,0.12,0,0.02,0.61,1.03,3
1.5,0.95,0,0.06,2.19,2.91,0,0.74,2.21,1.36,0,0,0.78,0,1.16,1.83,0,3
1.02,0,0,0.75,1.55,0,0.1,2.5,3.84,0.66,0.4,0,0,0,2.43,0.54,0.34,3
0.57,0,0.05,0,2.67,2.43,0,1.33,3.33,1.22,0,0,0.28,0.64,2.79,1.16,0,3
1.75,1.54,0,0.18,2.66,1.65,1.45,2.33,2.79,0.51,1.93,0,2.97,0,2.66,0,0.4,3
0,0,1.24,0,0.72,0.13,0.46,1.1,1.73,1.86,0,0,1.38,0,1.08,1,0,3
0,0,0,0,2.22,3.14,0,2.16,3.62,1.83,0.22,0.19,0.24,0.4,2.64,0.81,0,3
1.81,1.35,0.71,0,3.08,1.69,1.47,3.37,4.18,0.83,0.12,0,1.2,0.32,5,1.42,1.11,3
1.51,1.18,0.12,0,2,1.04,0.59,2.67,4.22,0.12,0,0.19,0.81,0,3.41,0.07,0.06,3
0.86,0,0.5,0,2.82,1.78,0,1.08,3.11,1.62,0,0,0.05,0,2.91,1.24,0,3
2.83,1.56,0,0,1.85,3.37,0,0.54,1.6,1.02,0,0,0.37,0,0.97,0.88,0,3
0.28,0.71,0,0,0,1.35,1.53,0.47,0.2,0.55,0.17,0,0.35,0,0,0,0.91,3
1.46,0,0.45,0,1.78,2.98,0,2.03,1.86,0,0,0,0.88,0.21,1.4,0.65,0,3
0,0,0,0.3,2.04,1.37,0,1.94,3.53,0.86,0,0.51,0,1.02,1.98,0.22,0,3
0,0,0,0,1.22,0.91,0.04,0.79,2.05,1.71,0,0,0.96,0,1.62,0.24,0,3
1.88,0.74,0,0.08,1.43,1.44,0,1.01,3.05,0.75,0.1,0,0.32,0,2.96,1.02,0.49,3
0,0,0,0,1.59,0.53,2.04,1.21,1.47,1.04,1.67,0.43,2.06,0,2.34,1.11,1.74,3
0.82,1.51,0.67,2.11,0.28,1.39,0,0.38,1.87,0,0.02,0,0,0,2.48,1.12,0.37,3
2.02,2.92,0.21,0.09,2.47,1.86,0.99,1.7,3.54,2.23,0,0,0,0.83,3.3,1.63,0.91,3
0.96,0,0,0,0.86,0.07,0.02,0.46,0.1,0,0.01,0,0,0,0.04,0,0.22,3
0,0,0.06,0,2.24,2.17,1.35,1.37,1.57,0.99,0.09,0,0,0,1.44,0,1.58,3
0,0,0.21,0,0.75,1.9,0.28,0,0.09,1.02,0,0,0,0,0.76,0.9,0,3
0.35,0,1.62,0.1,1.43,2.37,1.34,0.84,0.66,0.65,0,0.56,0,0.05,0.57,0.64,0.78,3
1.38,0.85,0,1.48,1.52,1.89,0.12,1.6,2.17,1.53,0,0,0.22,0,2.67,2.63,0,3
2,0,0.23,0,0.89,0,0,0.24,0.7,2.06,0.15,0,2.2,0,0.03,0.79,0.2,3
0.84,0,2.44,0,1.77,2.08,0.87,1.81,1.07,1.98,0.35,1.06,0.74,0,0.48,0.79,0.47,3
1.88,0.38,3.1,0,1.02,1.9,0.99,0.87,0.92,0.62,0.33,0,1.38,0.11,1.62,0.22,0.04,3
1.23,0.14,0,1,0,0,0,0,0.96,2.77,0,0,1.65,0,0,0.37,0,3
1.98,1.05,0,0,1.46,1.54,0.37,1.79,2.09,0.85,0,0,0.46,0.09,3.29,1.97,0.69,3
0,0,0.17,0.46,0.4,0,0.66,0.25,0.62,3.21,0,0,0.22,0,0,0.09,0.4,3
0.4,0,1.76,0.08,1.66,2.54,1.2,0.72,0.9,0.56,0.12,0.57,0.14,0.26,1.08,0.84,1.04,3
1.06,0,1.98,0,1.69,1.62,0.72,1.12,0.72,1.21,0.25,0.39,1,0.05,0.93,0.55,0.25,3
1.43,0,0.84,0.02,0.59,0.62,0,0,1.26,1.62,0,0,1.87,0.4,0.4,0,0,3
0.37,0.02,0,0,0.25,0,0,0.12,1.59,1.15,0.08,0.06,0.22,0,0,0,0,3
0.92,0.87,0,0.18,1.46,2.33,0,1.65,2.75,0.48,0.38,0,0.96,0.11,3.37,0.91,0.6,3
0.38,0,0,0,1.16,2.86,0.96,0,1.11,0,0,0,0,0,0.93,1.17,0.45,3
0.04,0,0,0,2.87,3.54,1.72,2.02,2.15,1.73,0.31,0,1.35,0,1.62,0,0.78,3
1.07,0.08,1.99,0,2.29,2.72,0.18,3.08,1.91,3.02,1.18,2.16,1.88,0.44,0.02,0.4,1.11,3
0.32,0.14,0,0,2.77,0.38,0,1.69,3.69,1.42,0,0,0,0,2.32,0.3,0,3
2.75,2.83,1.22,1.44,1.53,0.47,1.1,2.55,3.13,1.88,0,0,1.04,0.16,4.09,1.64,0.32,3
0.96,0.24,0,0,2.09,2.36,0.99,1.93,2.51,0.97,1.37,1.1,1.03,0,1.34,0.75,0.44,3
0,0,0,0,3.02,2.92,0,1.81,3.74,2.06,0,0,0.27,0.51,2.86,1.32,0.44,3
1.17,0,0,1.07,1.54,3,0,0.27,1.03,0,0,0.01,0.25,0.18,0.2,0,0,3
0.71,0,0,0.43,1.53,0.64,0,0.03,1.9,0.69,0,0,0,0.62,0.61,0,0,3
0,0,0.12,0,0.04,1.16,1.62,0.53,0.31,0.58,0.48,0,1.04,0,0.31,0.15,0.83,3
0.87,0.31,0,0.8,1.82,2.49,0,0.89,2.08,0.67,0,0.02,2.47,0,2.64,1.55,0,3
0,0,0.43,0,2.95,3.2,0.12,1.77,3.48,1.16,0,0.02,0,0.68,2.36,0.02,0.89,3
0,0,0,0,2.66,2.46,0,1.87,3.74,0.93,0,0,0,0.22,2.56,0.03,0,3
1.09,0,0.3,0,1.45,3.56,0.18,1.73,1.25,0,0,0,0.7,0.1,1.12,0.91,0,3
0.58,0,0,0.77,1.98,1.53,1.08,1.7,2.03,0.25,1.14,1.24,0.54,0,0,0,1.1,3
0.2,0,0.12,0,2.74,2,0,1.02,3.86,1.05,0,0,0,0.1,2.2,0,0,3
1.96,1.97,0,0,2.21,1.07,0,2.48,4.61,1.79,0,0,0,0,3.73,0.8,0,3
0.28,0.27,0,0.74,0,2,0,1.96,2.15,1.52,0,0,0,0,2.6,0.06,0,3
1.54,0,1.14,0.01,1.8,2.21,0.85,1.95,1.4,3.11,1.16,2.11,1.34,0.73,0,0,1.13,3
0.78,0,0,0,0.76,1.34,0.31,0,0.73,0,0,0,0,0,0,0.69,0.32,3
0.93,0.62,0,0,0.97,0.36,0.18,0.02,0.99,0,0.32,0,0.78,0,0.47,1.26,0.61,3
0.92,0.44,0,0,1.89,1.52,0.06,1.46,2.84,0.32,0.49,0,0.26,0,2.83,0.8,1.08,3
1.12,1.05,0,0,0.47,0,0,0,1.12,0.93,0,0.23,0.4,0.08,0,0,0,3
1.77,0,1.59,0.94,1.74,2.1,0.89,0.28,0.94,1.44,0.63,0,1.67,0.34,1.43,0,0.08,3
1.49,0,0.1,0.29,0,0,0,0,0.65,2.6,0.3,0.28,1.72,0.18,0,0,0,3
1.14,0,0,0.27,0.56,0,0,0,0.95,2.33,0.41,0.17,2.08,0.58,0,0.22,0,3
0.91,0,1.07,0.83,1.1,2.53,0.56,0.45,0.3,0.75,0.5,0.34,1.98,1.08,1.07,0.75,0.09,3
0.63,0.19,0,0,1.92,2.15,0,0.38,1.57,0.42,0,0,0,0,2.58,1.23,0.58,3
0.57,0,2.41,0,2.31,1.6,0.98,1.67,1.6,1.49,0,0,0.01,0,2.29,0.92,0.2,3
0.77,0,0.91,0.46,0.56,0,0,0,1.16,2.65,0,0.77,0.57,0,0,0.61,0.17,3
3.15,0.51,1.17,0.38,0.95,0,0,0.73,1.06,1.36,0.27,0.15,1.81,0.34,1.24,0,0,3
0.58,0,0.68,0.48,1.03,1.71,0.07,1.07,0,0,0.16,0.18,1.47,0.04,0.48,0.53,0,3
2.04,0,0,0.69,0,0,0,0.02,0.3,1.66,0.47,0.54,1.5,0.38,0,1.06,0,3
0,0,0,1.19,2.07,1.65,0,1.92,2.97,1.46,0,0,0,0,2.11,0.45,0,3
0.97,0.75,0,0,2.04,2.49,0.3,1.97,1.51,2.36,0.52,2.45,1.51,0.56,0,0,0.61,3
0.56,0,0,0.16,2.2,3.21,0.59,1.34,0.69,2.1,1.21,1.74,3.07,0.66,0,0,1.14,3
1.06,0,0,0,0.6,0.13,0,0.26,0.26,0,0,0,0.64,0,0.01,0,0,3
1.7,1.52,1.32,0,1.29,2.79,0,0.68,1.29,0.12,0,0,0.31,0,0.61,0.79,0,3
2.45,1.32,0.47,0.55,1.6,0,0.81,3.35,2.98,3.57,1.28,1.14,0,0,1.21,0,0,3
0.19,0,0,0,2.98,0.86,0,1.1,3.36,1.13,0,0,0,0,2.83,0.23,0,3
1.09,0.06,0.49,0,0.81,2.03,0,0.27,0.82,0,0,0,0.06,0,0.09,0.53,0,3
1.33,0,0.41,0,1.81,3.46,0,1.53,1.46,0,0,0,0.38,0.09,1.27,0.37,0,3
0.23,0.49,0,0.75,2.45,1.88,0,2.58,3.72,2.18,0,2.17,0.12,0.99,2.51,1.63,0,3
0.18,0,0.17,0,0,0.69,1.47,0.85,0.59,0.63,0.6,0,0.67,0,0.29,0,0.73,3
0.88,0,1.56,0,2.89,0,0.57,1.72,2.31,2.21,0.76,0,2.07,0.62,2.19,0.34,1,3
0,0,0,0.36,2.2,2.2,0,0.7,3.26,1.36,0,0,0,0.22,1.84,0,0,3
0.02,0,0,0.39,1.96,1.63,0,0.37,3.01,1.1,0,0,0.67,0.11,2.13,0,0,3
0.09,0.3,0,0,0,1.69,1.29,0.28,0.1,0.33,0.53,0,0,0,0,0,0.91,3
1.28,0,0.22,0,1.35,3.11,0,1.24,0.88,0.03,0,0,0.29,0,0.68,0.65,0,3
0.82,0.03,0.71,1.14,2.99,1.97,0,1.36,3.52,0.93,0.24,0.07,0.55,0.62,2.96,0,0,3
0.7,0,0.15,0.95,2.5,1.36,0,0.94,3.87,1.27,0,0,0,0,2.43,0,0,3
2.2,1.02,0.45,0,1.6,4.24,0,1.09,1.38,0.8,0.03,0,1.33,0.08,0.6,2.17,0,3
