 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
1.49,0.36,3.02,0.65,1.56,2.62,0.15,1.07,1.03,1.27,2.06,2.39,1.56,0.07,0.74,0,0,5
0.39,0.22,3.31,0,2.82,3.05,1.57,2.79,1.36,1.77,1.25,1.56,0,0.15,1.09,0.27,0.73,5
2.1,0,0.7,0.43,0.95,0,0.81,2.5,1.31,0,1.79,1.47,0.55,0,0.29,0.09,0.83,5
1.55,0,2.07,0,0.88,2.15,0.69,1.35,0,0.36,2.99,2.5,0.94,0,0,0,1.11,5
2.49,0.96,1.2,0.84,1.34,2.27,0,2.47,0.74,0,2.59,2.99,0.36,0.4,0,0,1.61,5
3.24,1.53,1.57,0,1.2,0.83,0,3.09,1.99,3.26,1.84,2.32,0.32,0,0.76,1.23,1.08,5
3.25,2.62,3.37,0.08,0.62,0.27,1.61,2.93,1.42,1.4,1.93,1.01,1.4,0,2.53,0.53,2.14,5
2.88,3.33,0,2.48,0.59,0,0,2.21,1.16,1.69,0.69,2.14,0,0,0.65,0.56,0,5
1.99,0.77,1.55,1.18,1.41,0.76,0,1.39,0.71,0,1.9,2.56,0,0,0,0,3.39,5
2.51,1.72,2.06,0,2.61,4.39,1.19,2.78,2.66,1.75,0.68,1.66,0,0.24,0.38,1.46,2,5
2.19,0.04,2.97,2.55,0.34,0,0,1.66,0.57,0,3.02,3.17,1.2,0.58,0,0,0,5
2.07,0.43,1.62,1.1,1.46,1.91,0,1.31,1.14,0,1.07,2.07,0,0,0,0,1.98,5
2.49,0.29,3.42,1.52,0,0,0,2.14,0.14,1.64,1.4,3.21,0.82,0,0,0,0,5
0.6,0.5,2.91,0.81,1.97,3.62,1.75,3.03,0.82,0.77,3.37,3.63,0.5,0.27,0.88,0.91,0.73,5
1.34,0.27,0.73,1.11,1.37,4.04,0.45,1.49,1.35,1.16,0,0.63,0,0,0.24,0.34,0,5
2.34,1.25,0.59,0,0.87,0.56,0,1.06,0.41,0,1.75,1.53,0,0,0.34,0.13,3.8,5
2.79,1.03,1.44,0,0.97,0,0,1.96,1.35,1.88,1.12,1.84,0,0,0.42,0.82,1.63,5
1.3,0,2.79,1.93,1.37,2.25,0,2.2,1.5,0.35,1.09,1.12,0.68,0,0,0,0,5
2.8,2.08,1.16,0.26,1.31,1.01,0,2.51,1.5,0.73,1.89,0,1.24,0,1.66,0.49,1.94,5
2.86,1.71,1.28,0,0.95,0.9,0.17,1.84,1.22,2.64,2.29,1.44,0.84,0.62,1.28,1.46,3.8,5
2.29,0.91,1.16,0,2.3,1.74,0.39,2.26,2,1.08,0.11,0.94,0.84,0,0.8,0.51,1.57,5
0,0,3.15,0.95,1.8,4.01,2.68,2.13,0,1.78,2.99,2.86,3.22,0.21,0.75,0,0.26,5
2.14,1.25,3.03,0.29,2.02,2.79,0.78,1.13,0.91,1.61,1.07,1.18,1.52,0,1.13,0,0.18,5
2.8,2.14,2.2,0,0.72,0.2,0,1.35,0,1.7,0.9,1.81,1.96,0,0.62,0,0.91,5
0.78,0,2.29,0,2.92,2.22,1.04,2.21,1.32,1.42,0.94,0,1.41,0,2.39,0,0.63,5
1.66,0.62,2.04,0,2.86,3.23,1.05,1.85,2.25,2.02,0.34,0.42,0.77,0,1.48,0.26,0.6,5
1.11,0,2.17,0,2.2,4.18,0.4,1.85,0.4,2.15,1.35,1.91,1.27,0.12,0,0,1.88,5
1.04,0,2.67,0,2.2,3.67,0,0.84,0.77,1.76,1.03,1.27,0.88,0,0.78,0,0.55,5
0.39,0,2.63,0,2.87,3.6,0.66,2.41,1.17,1.07,1.19,0.32,1.55,0,1.77,0,0.48,5
1.45,0,2.66,0,3.7,2.82,0.71,1.76,1.72,1.64,0.08,1.42,0.89,0.29,1.39,0.29,0.57,5
1.09,0.45,3.31,0.31,2.19,3.1,1.17,1.2,0.93,1.38,1.69,1.49,2.87,0,0.96,0,0,5
1.38,0,2.45,0,2.65,2.67,0.77,1.83,2.17,2.09,0.65,0.41,1.04,0.33,1.71,0.37,0.54,5
0.35,0,1.72,0,2.88,4.59,1.13,0.73,1,1.59,1.11,1.2,1.37,0.48,1.06,0.02,1,5
2.78,2.58,3.46,1.59,0.27,0.46,0.4,0,0,0,2.38,0.48,1.42,0,1.09,1.71,0,5
2.36,0.75,2.24,0,1.28,1.13,0,1.54,0.83,1.49,1.75,1.57,0.59,0,0.99,0,0.01,5
1.59,0.71,2.03,1.1,0.69,1.28,0,0,0,0,2.56,0.29,0.79,0,1.32,0,0,5
3.06,2.11,3.3,0.72,0.8,1.28,0.87,0,0.18,0,2.23,0.84,0.25,0,0.99,0,0,5
1.36,0.95,1.72,1.76,0.71,1.65,0,0.14,0,0,2.09,0.19,0.11,0,2.03,1.13,0,5
2.59,1.4,0.96,1.6,0,0,0,0,0,0,2.05,0.43,0.35,0,0.93,0,0,5
3.29,2.98,1.84,0.97,0.32,0.78,0.16,0,0,0,2.03,0.7,0,0,0.35,0,0,5
2.97,2.17,1.33,1.91,0,0,0,0.28,0.11,0,2.6,0.8,0.94,0,1.33,0.34,0.13,5
2.66,2.66,1.14,1.39,0,0,0,0,0,0,1.99,0,2.24,0,2.27,0.61,0,5
0.26,0,0,0,1.08,1.33,1.27,1.03,1.01,1.31,1.13,0.19,1.86,0,0.64,1.24,0,5
2.29,1.95,2.87,0.68,1.04,1.27,0,1.05,0.39,0,0.33,0,1.53,0,1.32,0.22,0,5
2.69,0,2.53,0.3,0.89,2.04,0.01,0.48,0,0.47,1.72,1.29,2.01,0,0.25,0.55,1.33,5
2.29,0,1.29,0,2.09,1.28,0,0.6,1.68,1.57,0.19,0,1.41,0,3.09,0,0.97,5
3.02,1.84,2.85,0,0.78,1.25,0,0,0.59,1.1,0,0.43,0,0,1.1,0.69,3.01,5
0,0,1.55,0,2.76,3.82,0.21,0.81,1.75,1.19,0.08,0,2.41,0,2.87,1.19,1.14,5
1.68,0.24,1.54,0.35,1.82,1.88,0,0.66,0.84,0.28,0.16,0,1.76,0.01,1.7,0,0.32,5
0.33,0,2.36,0.35,2.32,3.85,0.06,1.1,0.85,1.02,0.46,0,2.88,0,3.28,1.03,0.62,5
0.84,0,2.41,1.04,2.47,3.83,0,1.18,0.66,0.32,0.58,0,2.62,0.14,2.87,0.52,0.73,5
1.24,0,1.92,0.91,2.78,4.04,0.27,1.26,1.57,0.2,0.81,0,1.83,0,3.28,0,1.22,5
1.7,0,1.65,0.34,2.26,3.01,0,1.86,1.09,0.45,0.76,0,2,0.11,2.16,0,1.17,5
1.56,0,2.17,0.8,2.38,3.53,0,1.77,1.02,0.45,0.54,0,2.39,0,3.22,0.85,1.29,5
1.17,0,2.58,0.06,2.73,4.56,0.06,2.11,1.2,1.04,0.48,0,2.11,0,3.7,1.13,1.03,5
0.28,0,1.21,0,2.7,4.07,0,0.75,1.51,0.83,0.1,0,1.83,0,2.92,1.36,0.94,5
1.44,0,1.05,2.15,1.35,1.71,1.76,1.24,0.31,0.37,1.07,0.74,1.74,0.26,1.13,1.64,0,5
2.81,1.53,2.9,0.7,0.28,0.7,0.12,1.68,0.71,1.53,0.9,0.91,0.89,0,0.7,0.74,0,5
1.84,0.7,1.22,0,1.87,4.33,1.4,1.32,1.03,0.02,0.55,0,0,0,1.53,0.52,0,5
0.34,0,2.03,0,2.21,1.14,0,1.29,1.36,0.46,0.69,0.79,0.93,0,0.41,0,1.71,5
